Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.6736E-19,-1.0842E-19,0.03612,0,0,0,0.19817,0.00019631,-5.0751E-37,9.5557E-21,0.00019631,2.9387E-36,8.2637E-05,0,0,0,0,0,0,package://tool/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://tool/meshes/base_link.STL,,drill_2-1,坐标系2 <drill_2-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tcp_Link,8.67361737988404E-19,-1.0842021724855E-19,-0.143880246343994,0,0,0,0.198173911735786,0.000196305074276044,-5.07513748094244E-37,9.55569654760538E-21,0.000196305074276044,1.46936793852786E-36,8.26374934122889E-05,0,0,0,0,0,0,package://tool/meshes/tcp_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tool/meshes/tcp_Link.STL,,drill_2-1,坐标系1 <drill_2-1>,,tcp,fixed,0,0,0.18,0,0,0,base_link,0,0,0,,,,,,,,,,,,
